Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,IP Address,Port,CVE Publish Date,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
2c566e27-cac2-57bd-aaa2-4f854ccf3c7e,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-39573,,,,,,443,,,,146.190.102.247,443,2024-07-01,2026-02-13T16:07:30,,,,,,"Potential SSRF in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to cause unsafe RewriteRules to unexpectedly setup URL's to be handled by mod_proxy.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
b9488de9-0501-52e3-ab66-a2386ce9d561,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-36760,,,,,,443,,,,146.190.102.247,443,2023-01-17,2026-02-13T16:07:30,,,,,,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') vulnerability in mod_proxy_ajp of Apache HTTP Server allows an attacker to smuggle requests to the AJP server it forwards requests to.  This issue affects Apache HTTP Server Apache HTTP Server 2.4 version 2.4.54 and prior versions.,,,,0,,0
0c567b00-635a-5887-abdd-1df4eb70414e,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-27316,,,,,,443,,,,146.190.102.247,443,2024-04-04,2026-02-13T16:07:30,,,,,,"HTTP/2 incoming headers exceeding the limit are temporarily buffered in nghttp2 in order to generate an informative HTTP 413 response. If a client does not stop sending headers, this leads to memory exhaustion.",,,,0,,0
6380483e-4e76-5bc0-acf8-308521649c36,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-58098,,,,,,80,,,,146.190.102.247,80,2025-12-05,2026-02-13T16:07:30,,,,,,"Apache HTTP Server 2.4.65 and earlier with Server Side Includes (SSI) enabled and mod_cgid (but not mod_cgi) passes the shell-escaped query string to #exec cmd=""..."" directives.

This issue affects Apache HTTP Server before 2.4.66.

Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
d11ba14a-c5d8-5894-ae93-f9ac849f2b3f,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38473,,,,,,80,,,,146.190.102.247,80,2024-07-01,2026-02-13T16:07:30,,,,,,"Encoding problem in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows request URLs with incorrect encoding to be sent to backend services, potentially bypassing authentication via crafted requests.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
bf5bced7-af14-5d51-aed8-fd11fb4457ae,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-38709,,,,,,443,,,,146.190.102.247,443,2024-04-04,2026-02-13T16:07:30,,,,,,"Faulty input validation in the core of Apache allows malicious or exploitable backend/content generators to split HTTP responses.

This issue affects Apache HTTP Server: through 2.4.58.",,,,0,,0
8c649185-9112-5daf-af7b-7e430bb5a798,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-30556,,,,,,80,,,,146.190.102.247,80,2022-06-09,2026-02-13T16:07:30,,,,,,Apache HTTP Server 2.4.53 and earlier may return lengths to applications calling r:wsread() that point past the end of the storage allocated for the buffer.,,,,0,,0
37619d4c-ff4d-5904-afef-239c1082cdec,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2025-49812,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"In some mod_ssl configurations on Apache HTTP Server versions through to 2.4.63, an HTTP desynchronisation attack allows a man-in-the-middle attacker to hijack an HTTP session via a TLS upgrade.

Only configurations using ""SSLEngine optional"" to enable TLS upgrades are affected. Users are recommended to upgrade to version 2.4.64, which removes support for TLS upgrade.",,,,0,,0
ce2690e5-4249-5706-b2c3-74ed9815b663,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-59775,,,,,,443,,,,146.190.102.247,443,2025-12-05,2026-02-13T16:07:30,,,,,,"Server-Side Request Forgery (SSRF) vulnerability 

\xC2\xA0in Apache HTTP Server on Windows 

with AllowEncodedSlashes On\xC2\xA0and MergeSlashes Off\xC2\xA0 allows to potentially leak NTLM 
hashes to a malicious server via SSRF and malicious requests or content

Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
f54be22e-f1ef-5049-b4a2-fb0add65dace,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2025-49630,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"In certain proxy configurations, a denial of service attack against\xC2\xA0Apache HTTP Server versions 2.4.26 through to 2.4.63 can be triggered by untrusted clients causing an assertion in mod_proxy_http2.

Configurations affected are a reverse proxy is configured for an HTTP/2 backend, with ProxyPreserveHost set to ""on"".",,,,0,,0
894a4248-ef93-554d-b588-9f8e31efb26a,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-36760,,,,,,80,,,,146.190.102.247,80,2023-01-17,2026-02-13T16:07:30,,,,,,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') vulnerability in mod_proxy_ajp of Apache HTTP Server allows an attacker to smuggle requests to the AJP server it forwards requests to.  This issue affects Apache HTTP Server Apache HTTP Server 2.4 version 2.4.54 and prior versions.,,,,0,,0
cff9c1ec-992e-5b14-b6a1-9ba4ff2c7bb5,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2024-47252,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"Insufficient escaping of user-supplied data in mod_ssl in Apache HTTP Server 2.4.63 and earlier allows an untrusted SSL/TLS client to insert escape characters into log files in some configurations.

In a logging configuration where CustomLog is used with ""%{varname}x"" or ""%{varname}c"" to log variables provided by mod_ssl such as SSL_TLS_SNI, no escaping is performed by either mod_log_config or mod_ssl and unsanitized data provided by the client may appear in log files.",,,,0,,0
8b2b5f1e-2742-55c1-b7ce-2c46fcd37b48,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-58098,,,,,,443,,,,146.190.102.247,443,2025-12-05,2026-02-13T16:07:30,,,,,,"Apache HTTP Server 2.4.65 and earlier with Server Side Includes (SSI) enabled and mod_cgid (but not mod_cgi) passes the shell-escaped query string to #exec cmd=""..."" directives.

This issue affects Apache HTTP Server before 2.4.66.

Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
fd7a55d9-a6e6-5df3-b86e-e94efc13d00b,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38473,,,,,,443,,,,146.190.102.247,443,2024-07-01,2026-02-13T16:07:30,,,,,,"Encoding problem in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows request URLs with incorrect encoding to be sent to backend services, potentially bypassing authentication via crafted requests.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
b9cc8090-cd67-5ec2-b8d1-bf279ed0156c,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-27522,,,,,,443,,,,146.190.102.247,443,2023-03-07,2026-02-13T16:07:30,,,,,,"HTTP Response Smuggling vulnerability in Apache HTTP Server via mod_proxy_uwsgi. This issue affects Apache HTTP Server: from 2.4.30 through 2.4.55.

Special characters in the origin response header can truncate/split the response forwarded to the client.",,,,0,,0
bf7703bc-662a-55d8-b95e-7fa4f8b18303,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-55753,,,,,,80,,,,146.190.102.247,80,2025-12-05,2026-02-13T16:07:30,,,,,,"An integer overflow in the case of failed ACME certificate renewal leads, after a number of failures (~30 days in default configurations), to the backoff timer becoming 0. Attempts to renew the certificate then are repeated without delays until it succeeds.

This issue affects Apache HTTP Server: from 2.4.30 before 2.4.66.


Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
7fe96ce1-1328-59b5-b9f3-17b4ba65032e,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-27316,,,,,,80,,,,146.190.102.247,80,2024-04-04,2026-02-13T16:07:30,,,,,,"HTTP/2 incoming headers exceeding the limit are temporarily buffered in nghttp2 in order to generate an informative HTTP 413 response. If a client does not stop sending headers, this leads to memory exhaustion.",,,,0,,0
59e88b67-f2e5-5e31-bc8c-d59c4e8d3bdd,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2006-20001,,,,,,80,,,,146.190.102.247,80,2023-01-17,2026-02-13T16:07:30,,,,,,"A carefully crafted If: request header can cause a memory read, or write of a single zero byte, in a pool (heap) memory location beyond the header value sent. This could cause the process to crash.

This issue affects Apache HTTP Server 2.4.54 and earlier.",,,,0,,0
d93f4e54-ace2-5e85-be82-fd4f37781bfa,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2025-53020,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"Late Release of Memory after Effective Lifetime vulnerability in Apache HTTP Server.

This issue affects Apache HTTP Server: from 2.4.17 up to 2.4.63.

Users are recommended to upgrade to version 2.4.64, which fixes the issue.",,,,0,,0
b7cbc395-94f1-5519-be93-d6775c11d5ac,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-55753,,,,,,443,,,,146.190.102.247,443,2025-12-05,2026-02-13T16:07:30,,,,,,"An integer overflow in the case of failed ACME certificate renewal leads, after a number of failures (~30 days in default configurations), to the backoff timer becoming 0. Attempts to renew the certificate then are repeated without delays until it succeeds.

This issue affects Apache HTTP Server: from 2.4.30 before 2.4.66.


Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
cb67769b-e58e-5a34-bfaf-8369c5f47693,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-42516,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"HTTP response splitting in the core of Apache HTTP Server allows an attacker who can manipulate the Content-Type response headers of applications hosted or proxied by the server can split the HTTP response.

This vulnerability was described as CVE-2023-38709 but the patch included in Apache HTTP Server 2.4.59 did not address the issue.

Users are recommended to upgrade to version 2.4.64, which fixes this issue.",,,,0,,0
